match_id,match_name,kickoff,actual_score,portfolio_name,portfolio_style,pre_match_rank,pre_match_score,total_stake,net_profit,roi,hit_count,loss_count,push_count,best_score_path,actual_score_path,covered_actual_score,zero_risk_triggered,one_goal_deviation_failure,recommendation_rank_pre_match,actual_profit_rank_post_match,recomputed_with_current_model
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第2组合,System,2,72,1500.0,1545.0,1.03,1,0,0,2:0,two_goal_win,True,False,False,2,2,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第6组合,System,6,53,1500.0,1009.0,0.673,2,0,0,2:0,two_goal_win,True,False,False,6,3,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第5组合,System,5,53,1500.0,540.0,0.36,1,0,0,2:0,two_goal_win,True,False,False,5,4,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第3组合,System,3,64,1500.0,327.0,0.218,1,1,0,2:0,two_goal_win,True,False,False,3,5,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,我的组合,My Portfolio,,,900.0,-100.0,-0.111,0,1,0,-,two_goal_win,,False,False,,6,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第7组合,System,7,50,1500.0,-144.0,-0.096,2,2,0,2:0,two_goal_win,False,False,False,7,7,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第8组合,System,8,48,1500.0,-276.0,-0.184,1,1,0,2:0,two_goal_win,False,False,False,8,8,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第4组合,System,4,53,1500.0,-1500.0,-1.0,0,1,0,2:0,two_goal_win,False,True,False,4,9,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第9组合,System,9,40,1500.0,-1500.0,-1.0,0,2,0,2:0,two_goal_win,False,True,False,9,10,False
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,第10组合,System,10,39,1500.0,-1500.0,-1.0,0,2,0,3:0,two_goal_win,False,True,False,10,11,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,我的组合,My Portfolio,,,500.0,0.0,0.0,0,0,0,-,three_plus_goal_win,,False,False,,1,False
